run_name,status,projection_loss_mode,geometry_update_volume_source,views,volume_shape,artifact_dir,det_u_realized_rmse_px,det_v_realized_rmse_px,theta_realized_rmse_rad,final_volume_final_geometry_loss,final_volume_true_geometry_loss,true_volume_final_geometry_loss,true_volume_true_geometry_loss,volume_nmse,schur_accepted,classification,runtime_seconds,peak_memory
stopped_otsu_l2_multires_f4_32_128v,failed,otsu_l2,stopped_reconstruction,128,32x32x32,runs/rich_phantom_v1_parity_20260508_155829/prealloc_false_multires_stopped_128v/stopped_otsu_l2_multires_f4_32_128v,2.171414613723755,0.0,0.0218166156499291,296.7956237792969,293.7829895019531,321.9526062011719,291.6895751953125,1.4782681465148926,True,training_loss_not_independent,114.44432629598305,
stopped_otsu_l2_multires_f2_64_128v,failed,otsu_l2,stopped_reconstruction,128,64x64x64,runs/rich_phantom_v1_parity_20260508_155829/prealloc_false_multires_stopped_128v/stopped_otsu_l2_multires_f2_64_128v,1.624197006225586,0.0,0.0218166156499291,44.61565017700195,50.056800842285156,140.32762145996094,127.0274429321289,2.6466779708862305,True,reconstruction_absorbed_geometry,84.57823163503781,
stopped_otsu_l2_multires_f1_128_128v,failed,otsu_l2,stopped_reconstruction,128,128x128x128,runs/rich_phantom_v1_parity_20260508_155829/prealloc_false_multires_stopped_128v/stopped_otsu_l2_multires_f1_128_128v,2.3655166625976562,0.0,0.0218166156499291,40.93244552612305,45.925392150878906,9.916202545166016,0.0,0.6406761407852173,True,reconstruction_absorbed_geometry,143.93919961398933,
